1506961395 0 0 0 0 0 0 1
1506968578 0 0 0 0 0 1 1
1506975478 0 0 0 1 0 1 1
1507645479 0 0 1 1 0 1 1
1508093594 0 1 1 1 0 1 1
1508093834 0 2 1 1 0 1 1
1508093968 0 3 1 1 0 1 1
1508094341 0 4 1 1 0 1 1
1508094987 0 5 1 1 0 1 1
1508095146 0 6 1 1 0 1 1
1510401283 0 6 2 1 0 1 1
1510402122 0 6 3 1 0 1 1
1510402862 0 6 4 1 0 1 1
1510405077 0 6 5 1 0 1 1
1510406866 0 6 6 1 0 1 1
1510426004 1 6 6 1 0 1 1
1510426747 2 6 6 1 0 1 1
1510427463 3 6 6 1 0 1 1
1510427702 4 6 6 1 0 1 1
1510430123 5 6 6 1 0 1 1
1510430879 6 6 6 1 0 1 1
1510432966 6 6 6 1 1 1 1
1510433028 7 6 6 1 1 1 1
1510435335 7 6 6 1 2 1 1
1510436487 7 6 6 2 2 1 1
1510438248 7 6 6 3 2 1 1
1511203847 7 6 6 4 2 1 1
1511204103 7 6 6 5 2 1 1
