1506961395 0 0 0 0 0 0 1
1506968578 0 0 0 0 0 6 1
1506975478 0 0 0 1 0 6 1
1507645479 0 0 1 1 0 6 1
1508093594 0 1197 1 1 0 6 1
1508093834 0 1351 1 1 0 6 1
1508093968 0 1358 1 1 0 6 1
1508094341 0 1395 1 1 0 6 1
1508094987 0 1425 1 1 0 6 1
1508095146 0 1432 1 1 0 6 1
1510401283 0 1432 1 1 0 6 1
1510402122 0 1432 1067 1 0 6 1
1510402862 0 1432 1109 1 0 6 1
1510405077 0 1432 1138 1 0 6 1
1510406866 0 1432 1369 1 0 6 1
1510426004 25 1432 1369 1 0 6 1
1510426747 30 1432 1369 1 0 6 1
1510427463 38 1432 1369 1 0 6 1
1510427702 39 1432 1369 1 0 6 1
1510430123 45 1432 1369 1 0 6 1
1510430879 48 1432 1369 1 0 6 1
1510432966 48 1432 1369 1 5 6 1
1510433028 50 1432 1369 1 5 6 1
1510435335 50 1432 1369 1 8 6 1
1510436487 50 1432 1369 1 8 6 1
1510438248 50 1432 1369 17 8 6 1
1511203847 50 1432 1369 18 8 6 1
1511204103 50 1432 1369 363094 8 6 1
